speccode,species,Family,lmax,a,b
67574,Acanthobrama orontis,Leuciscidae,17.311111132303875,0.008026666666666666,3.2113333333333336
55292,Acanthobrama persidis,Leuciscidae,17.311111132303875,0.0076,3.391
26480,Acanthobrama telavivensis,Leuciscidae,17.311111132303875,0.008026666666666666,3.2113333333333336
67573,Acanthobrama thisbeae,Leuciscidae,17.311111132303875,0.008026666666666666,3.2113333333333336
55147,Acanthobrama tricolor,Leuciscidae,17.311111132303875,0.008026666666666666,3.2113333333333336
55146,Acanthobrama urmianus,Leuciscidae,17.311111132303875,0.008026666666666666,3.2113333333333336
48998,Acanthobunocephalus nicoi,Aspredinidae,NA,NA,NA
10354,Acanthocepola abbreviata,Cepolidae,34,7e-4,3.35
9216,Acanthocepola indica,Cepolidae,34,7e-4,3.35
9215,Acanthocepola krusensternii,Cepolidae,34,7e-4,3.35
9214,Acanthocepola limbata,Cepolidae,34,7e-4,3.35
9046,Acanthochaenus luetkenii,Stephanoberycidae,NA,NA,NA
51803,Acanthocharax microlepis,Characidae,6.256666700045268,NA,NA
6655,Acanthochromis polyacanthus,Pomacentridae,14.699999809265137,0.0282,3.1784999999999997
9474,Acanthocleithron chapini,Mochokidae,19.06666660308838,NA,NA
12865,Acanthoclinus fuscus,Plesiopidae,7.01666659116745,0.00966,2.964
49224,Acanthoclinus littoreus,Plesiopidae,7.01666659116745,0.00966,2.964
46323,Acanthoclinus marilynae,Plesiopidae,7.01666659116745,0.00966,2.964
47430,Acanthoclinus matti,Plesiopidae,7.01666659116745,0.00966,2.964
46322,Acanthoclinus rua,Plesiopidae,7.01666659116745,0.00966,2.964
12256,Acanthocobitis botia,Nemacheilidae,9.368750035762787,0.018033333333333332,2.819
24577,Acanthocobitis mooreh,Nemacheilidae,9.368750035762787,0.018033333333333332,2.819
24585,Acanthocobitis pavonacea,Nemacheilidae,9.368750035762787,0.018033333333333332,2.819
66575,Acanthocobitis pictilis,Nemacheilidae,9.368750035762787,0.018033333333333332,2.819
24604,Acanthocobitis rubidipinnis,Nemacheilidae,9.368750035762787,0.018033333333333332,2.819
10378,Acanthocobitis urophthalmus,Nemacheilidae,9.368750035762787,0.018033333333333332,2.819
89,Acanthocybium solandri,Scombridae,130,0.0027177777777777777,3.2404444444444445
47599,Acanthodoras cataphractus,Doradidae,44.65000009536743,NA,NA
47598,Acanthodoras depressus,Doradidae,44.65000009536743,NA,NA
12103,Acanthodoras spinosissimus,Doradidae,44.65000009536743,NA,NA
54894,Acanthodraco dewitti,Bathydraconidae,NA,NA,NA
55978,Acanthogobio guentheri,Gobionidae,20.500000190734863,NA,NA
67583,Acanthogobius elongatus,Gobiidae,9.113439927101135,0.017811666666666667,2.6421666666666668
3832,Acanthogobius flavimanus,Gobiidae,9.113439927101135,0.009905,2.9345
13045,Acanthogobius hasta,Gobiidae,9.113439927101135,0.03087,2.43
67376,Acanthogobius insularis,Gobiidae,9.113439927101135,0.017811666666666667,2.6421666666666668
23696,Acanthogobius lactipes,Gobiidae,9.113439927101135,0.01266,2.5620000000000003
55485,Acanthogobius luridus,Gobiidae,9.113439927101135,0.017811666666666667,2.6421666666666668
69021,Acanthogobius stigmothonus,Gobiidae,9.113439927101135,0.017811666666666667,2.6421666666666668
7633,Acantholabrus palloni,Labridae,17.647565530926993,0.0108,3.074
51500,Acantholiparis caecus,Liparidae,11.733333269755045,NA,NA
25262,Acantholiparis opercularis,Liparidae,11.733333269755045,NA,NA
3771,Acantholumpenus mackayi,Lumpenidae,NA,NA,NA
8943,Acanthonus armatus,Ophidiidae,NA,NA,NA
63150,Acanthopagrus akazakii,Sparidae,38.166666666666664,0.02430400826446281,2.9872666253443527
67314,Acanthopagrus arabicus,Sparidae,38.166666666666664,0.0415,2.825
8109,Acanthopagrus australis,Sparidae,38.166666666666664,0.0193,3.0148
5526,Acanthopagrus berda,Sparidae,41,0.01844,3.0662000000000003
4543,Acanthopagrus bifasciatus,Sparidae,30,0.029266666666666667,2.977
14601,Acanthopagrus butcheri,Sparidae,38.166666666666664,0.011869090909090909,3.091654545454545
67289,Acanthopagrus catenula,Sparidae,38.166666666666664,0.02430400826446281,2.9872666253443527
63767,Acanthopagrus chinshira,Sparidae,38.166666666666664,0.02430400826446281,2.9872666253443527
67331,Acanthopagrus datnia,Sparidae,38.166666666666664,0.021,2.955
6356,Acanthopagrus latus,Sparidae,43.5,0.03668,2.9008
67330,Acanthopagrus morrisoni,Sparidae,38.166666666666664,0.02086,2.97925
65370,Acanthopagrus omanensis,Sparidae,38.166666666666664,0.02430400826446281,2.9872666253443527
65896,Acanthopagrus pacificus,Sparidae,38.166666666666664,0.023075,3.032895
8110,Acanthopagrus palmaris,Sparidae,38.166666666666664,0.02430400826446281,2.9872666253443527
65100,Acanthopagrus randalli,Sparidae,38.166666666666664,0.02430400826446281,2.9872666253443527
6531,Acanthopagrus schlegelii,Sparidae,38.166666666666664,0.02485333333333333,3.017333333333333
67333,Acanthopagrus sheim,Sparidae,38.166666666666664,0.02430400826446281,2.9872666253443527
6583,Acanthopagrus sivicolus,Sparidae,38.166666666666664,0.0205,3
63153,Acanthopagrus taiwanensis,Sparidae,38.166666666666664,0.02430400826446281,2.9872666253443527
65558,Acanthopagrus vagus,Sparidae,38.166666666666664,0.02430400826446281,2.9872666253443527
67665,Acanthoplesiops cappuccino,Plesiopidae,1.8499999642372131,NA,NA
58053,Acanthoplesiops echinatus,Plesiopidae,1.8499999642372131,NA,NA
17444,Acanthoplesiops hiatti,Plesiopidae,1.600000023841858,NA,NA
8004,Acanthoplesiops indicus,Plesiopidae,2.0999999046325684,NA,NA
69338,Acanthoplesiops jessicae,Plesiopidae,1.8499999642372131,NA,NA
65019,Acanthoplesiops naka,Plesiopidae,1.8499999642372131,NA,NA
59172,Acanthoplesiops psilogaster,Plesiopidae,1.8499999642372131,NA,NA
48774,Acanthopoma annectens,Trichomycteridae,NA,NA,NA
8836,Acanthopsetta nadeshnyi,Pleuronectidae,43.31249952316284,0.00548,3.147
26858,Acanthopsoides delphax,Cobitidae,9.100000381469727,NA,NA
26859,Acanthopsoides gracilentus,Cobitidae,9.100000381469727,NA,NA
26913,Acanthopsoides gracilis,Cobitidae,9.100000381469727,NA,NA
26860,Acanthopsoides hapalias,Cobitidae,9.100000381469727,NA,NA
23006,Acanthopsoides molobrion,Cobitidae,9.100000381469727,NA,NA
65707,Acanthopsoides namromensis,Cobitidae,9.100000381469727,NA,NA
23008,Acanthopsoides robertsi,Cobitidae,9.100000381469727,NA,NA
46831,Acanthorhodeus chankaensis,Acheilognathidae,NA,0.008533333333333334,3.3256666666666668
25311,Acanthosphex leurynnis,Aploactinidae,13.100000381469727,NA,NA
23363,Acanthostracion guineense,Ostraciidae,19.93749964237213,0.07158791666666667,2.7451250000000003
23370,Acanthostracion notacanthus,Ostraciidae,19.93749964237213,0.07158791666666667,2.7451250000000003
4287,Acanthostracion polygonius,Ostraciidae,19.93749964237213,0.05395333333333333,2.9050000000000002
92,Acanthostracion quadricornis,Ostraciidae,19.93749964237213,0.0892225,2.5852500000000003
4306,Acanthurus achilles,Acanthuridae,25,0.003285,3
68166,Acanthurus albimento,Acanthuridae,26.596666717529295,0.030074608843537416,2.937372664399093
13770,Acanthurus albipectoralis,Acanthuridae,26.596666717529295,0.030074608843537416,2.937372664399093
56506,Akko dionaea,Gobiidae,9.113439927101135,NA,NA
62085,Akko rossi,Gobiidae,9.113439927101135,NA,NA
51454,Akrokolioplax bicornis,Cyprinidae,21.23551709076454,NA,NA
66310,Akysis bilustris,Akysidae,NA,NA,NA
54773,Akysis brachybarbatus,Akysidae,NA,NA,NA
62037,Akysis clavulus,Akysidae,NA,NA,NA
62564,Akysis clinatus,Akysidae,NA,NA,NA
52539,Akysis ephippifer,Akysidae,NA,NA,NA
64889,Akysis fontaneus,Akysidae,NA,NA,NA
62565,Akysis fuliginatus,Akysidae,NA,NA,NA
64033,Akysis galeatus,Akysidae,NA,NA,NA
26974,Akysis hendricksoni,Akysidae,NA,NA,NA
27400,Akysis heterurus,Akysidae,NA,NA,NA
62593,Akysis longifilis,Akysidae,NA,NA,NA
26747,Akysis maculipinnis,Akysidae,NA,NA,NA
60651,Akysis manipurensis,Akysidae,NA,NA,NA
58042,Akysis microps,Akysidae,NA,NA,NA
24796,Akysis pictus,Akysidae,NA,NA,NA
64863,Akysis portellus,Akysidae,NA,NA,NA
24798,Akysis prashadi,Akysidae,NA,NA,NA
63540,Akysis pulvinatus,Akysidae,NA,NA,NA
52542,Akysis recavus,Akysidae,NA,NA,NA
64032,Akysis scorteus,Akysidae,NA,NA,NA
23309,Akysis variegatus,Akysidae,NA,NA,NA
52544,Akysis varius,Akysidae,NA,NA,NA
50222,Algansea lacustris,Leuciscidae,17.311111132303875,NA,NA
55222,Algansea monticola,Leuciscidae,17.311111132303875,NA,NA
50225,Algansea popoche,Leuciscidae,17.311111132303875,NA,NA
50227,Algansea tincella,Leuciscidae,17.311111132303875,NA,NA
64957,Alionematichthys ceylonensis,Dinematichthyidae,NA,NA,NA
64958,Alionematichthys crassiceps,Dinematichthyidae,NA,NA,NA
56405,Alionematichthys minyomma,Dinematichthyidae,NA,NA,NA
64959,Alionematichthys phuketensis,Dinematichthyidae,NA,NA,NA
64965,Alionematichthys piger,Dinematichthyidae,NA,NA,NA
64960,Alionematichthys plicatosurculus,Dinematichthyidae,NA,NA,NA
27338,Alionematichthys riukiuensis,Dinematichthyidae,NA,NA,NA
64961,Alionematichthys samoaensis,Dinematichthyidae,NA,NA,NA
64962,Alionematichthys shinoharai,Dinematichthyidae,NA,NA,NA
64963,Alionematichthys suluensis,Dinematichthyidae,NA,NA,NA
64964,Alionematichthys winterbottomi,Dinematichthyidae,NA,NA,NA
6391,Allenbatrachus grunniens,Batrachoididae,NA,NA,NA
63432,Allenbatrachus meridionalis,Batrachoididae,NA,NA,NA
50449,Allenbatrachus reticulatus,Batrachoididae,NA,NA,NA
14035,Allenichthys glauerti,Antennariidae,8.969999980926513,NA,NA
53948,Allips concolor,Ophichthidae,NA,NA,NA
52390,Alloblennius anuchalis,Blenniidae,7.94548673123385,NA,NA
66456,Alloblennius frondiculus,Blenniidae,7.94548673123385,NA,NA
6046,Alloblennius jugularis,Blenniidae,7.94548673123385,NA,NA
16940,Alloblennius parvus,Blenniidae,7.94548673123385,NA,NA
4748,Acanthurus auranticavus,Acanthuridae,29.200000762939453,0.030074608843537416,2.937372664399093
68792,Acanthurus bahianus,Acanthuridae,26.596666717529295,0.026,2.87
4307,Acanthurus bariene,Acanthuridae,44.20000076293945,0.030074608843537416,2.937372664399093
4750,Acanthurus blochii,Acanthuridae,21.600000381469727,0.021586666666666667,3.081976666666667
943,Acanthurus chirurgus,Acanthuridae,26.596666717529295,0.025907142857142858,2.9085285714285716
6010,Acanthurus chronixis,Acanthuridae,26.596666717529295,0.030074608843537416,2.937372664399093
944,Acanthurus coeruleus,Acanthuridae,21,0.032100000000000004,2.96425
1256,Acanthurus dussumieri,Acanthuridae,28.399999618530273,0.048979999999999996,2.8336300000000003
4745,Acanthurus fowleri,Acanthuridae,35.599998474121094,0.030074608843537416,2.937372664399093
17471,Acanthurus gahhm,Acanthuridae,26.596666717529295,0.030074608843537416,2.937372664399093
4749,Acanthurus grammoptilus,Acanthuridae,13.699999809265137,0.030074608843537416,2.937372664399093
4736,Acanthurus guttatus,Acanthuridae,21.600000381469727,0.01841,2.966666666666667
23375,Acanthurus japonicus,Acanthuridae,26.596666717529295,0.030074608843537416,2.937372664399093
4741,Acanthurus leucocheilus,Acanthuridae,39.900001525878906,0.030074608843537416,2.937372664399093
4737,Acanthurus leucopareius,Acanthuridae,26.200000762939453,0.00409,3
1257,Acanthurus leucosternon,Acanthuridae,14.800000190734863,0.016875,2.9605
1258,Acanthurus lineatus,Acanthuridae,27.700000762939453,0.04268,2.9334
4746,Acanthurus maculiceps,Acanthuridae,30.700000762939453,0.030074608843537416,2.937372664399093
1255,Acanthurus mata,Acanthuridae,25.5,0.038785,2.9174875
1800,Acanthurus monroviae,Acanthuridae,26.596666717529295,0.029650000000000003,2.9699999999999998
6011,Acanthurus nigricans,Acanthuridae,30.5,0.067,2.669
4747,Acanthurus nigricauda,Acanthuridae,33.79999923706055,0.044025714285714286,2.845674285714286
4739,Acanthurus nigrofuscus,Acanthuridae,16.200000762939453,0.038228333333333336,2.9942283333333335
4738,Acanthurus nigroris,Acanthuridae,19.299999237060547,0.030074608843537416,2.937372664399093
4733,Acanthurus nubilus,Acanthuridae,25.399999618530273,0.030074608843537416,2.937372664399093
4744,Acanthurus olivaceus,Acanthuridae,30.5,0.035333333333333335,3.051
4732,Acanthurus polyzona,Acanthuridae,11,0.030074608843537416,2.937372664399093
4742,Acanthurus pyroferus,Acanthuridae,24.899999618530273,0.00342,3
3905,Acanthurus randalli,Acanthuridae,26.596666717529295,0.030074608843537416,2.937372664399093
58792,Acanthurus reversus,Acanthuridae,26.596666717529295,0.030074608843537416,2.937372664399093
4740,Acanthurus sohal,Acanthuridae,36.400001525878906,0.030074608843537416,2.937372664399093
1259,Acanthurus tennentii,Acanthuridae,17.799999237060547,0.030074608843537416,2.937372664399093
4734,Acanthurus thompsoni,Acanthuridae,20.299999237060547,0.02611,3
942,Acanthurus tractus,Acanthuridae,20,0.025866666666666666,2.9148
1260,Acanthurus triostegus,Acanthuridae,21.299999237060547,0.04895142857142857,2.9108114285714284
12782,Acanthurus tristis,Acanthuridae,23.899999618530273,0.030074608843537416,2.937372664399093
1261,Acanthurus xanthopterus,Acanthuridae,61.5,0.0342825,2.8928725
23015,Acantopsis dialuzona,Cobitidae,9.100000381469727,NA,NA
68515,Acantopsis dinema,Cobitidae,9.100000381469727,NA,NA
68516,Acantopsis ioa,Cobitidae,9.100000381469727,NA,NA
62902,Acantopsis multistigmatus,Cobitidae,9.100000381469727,NA,NA
23017,Acantopsis octoactinotos,Cobitidae,9.100000381469727,NA,NA
68514,Acantopsis rungthipae,Cobitidae,9.100000381469727,NA,NA
66460,Acantopsis spectabilis,Cobitidae,9.100000381469727,NA,NA
60780,Acantopsis thiemmedhi,Cobitidae,9.100000381469727,NA,NA
11272,Acapoeta tanganicae,Cyprinidae,21.23551709076454,NA,NA
12258,Acarichthys heckelii,Cichlidae,22.535185107478387,NA,NA
59465,Acarobythites larsonae,Bythitidae,NA,NA,NA
12260,Acaronia nassa,Cichlidae,22.535185107478387,NA,NA
46568,Acaronia vultuosa,Cichlidae,22.535185107478387,NA,NA
17032,Acentrogobius audax,Gobiidae,12.5,0.012575,3.026
4894,Acentrogobius caninus,Gobiidae,14.600000381469727,0.0129,2.8739999999999997
66879,Acentrogobius cenderawasih,Gobiidae,12.5,0.012575,3.026
54133,Acentrogobius chlorostigmatoides,Gobiidae,12.5,0.012575,3.026
25062,Acentrogobius cyanomos,Gobiidae,12.5,0.0121,3
46432,Acentrogobius dayi,Gobiidae,12,0.012575,3.026
56720,Acentrogobius ennorensis,Gobiidae,12.5,0.012575,3.026
25229,Acentrogobius griseus,Gobiidae,12.5,0.012575,3.026
23581,Acentrogobius janthinopterus,Gobiidae,12.5,0.012575,3.026
68732,Acentrogobius limarius,Gobiidae,12.5,0.012575,3.026
25232,Acentrogobius masoni,Gobiidae,12.5,0.012575,3.026
23582,Acentrogobius moloanus,Gobiidae,12.5,0.012575,3.026
23583,Acentrogobius multifasciatus,Gobiidae,12.5,0.012575,3.026
7228,Acentrogobius nebulosus,Gobiidae,12.5,0.012575,3.026
60013,Acentrogobius pellidebilis,Gobiidae,12.5,0.012575,3.026
23585,Acentrogobius pflaumii,Gobiidae,10.899999618530273,0.0161,3
9921,Acentrogobius simplex,Gobiidae,12.5,0.012575,3.026
23587,Acentrogobius suluensis,Gobiidae,12.5,0.012575,3.026
9922,Acentrogobius therezieni,Gobiidae,12.5,0.012575,3.026
68735,Acentrogobius vanderloosi,Gobiidae,12.5,0.012575,3.026
23590,Acentrogobius viganensis,Gobiidae,12.5,0.012575,3.026
68736,Acentrogobius violarisi,Gobiidae,12.5,0.012575,3.026
15776,Acentrogobius viridipunctatus,Gobiidae,12.5,0.0092,3.23
47798,Acentronichthys leptos,Heptapteridae,NA,0.00681,2.7199999999999998
66887,Acentronura breviperula,Syngnathidae,15.206666628519693,NA,NA
7994,Acentronura gracilissima,Syngnathidae,15.206666628519693,NA,NA
16862,Acentronura tentaculata,Syngnathidae,15.206666628519693,NA,NA
62231,Acentrophryne dolichonema,Linophrynidae,NA,NA,NA
59196,Acentrophryne longidens,Linophrynidae,NA,NA,NA
62136,Acestridium colombiense,Loricariidae,43.40749979019165,NA,NA
57630,Acestridium dichromum,Loricariidae,43.40749979019165,NA,NA
50557,Acestridium discus,Loricariidae,43.40749979019165,NA,NA
65095,Acestridium gymnogaster,Loricariidae,43.40749979019165,NA,NA
57632,Acestridium martini,Loricariidae,43.40749979019165,NA,NA
65096,Acestridium scutatum,Loricariidae,43.40749979019165,NA,NA
64041,Acestridium triplax,Loricariidae,43.40749979019165,NA,NA
63992,Acestrocephalus acutus,Characidae,6.256666700045268,0.0072,3.13
52917,Acestrocephalus anomalus,Characidae,6.256666700045268,0.0072,3.13
51805,Acestrocephalus boehlkei,Characidae,6.256666700045268,0.0072,3.13
63986,Acestrocephalus maculosus,Characidae,6.256666700045268,0.0072,3.13
63990,Acestrocephalus nigrifasciatus,Characidae,6.256666700045268,0.0072,3.13
63995,Acestrocephalus pallidus,Characidae,6.256666700045268,0.0072,3.13
53309,Acestrocephalus sardina,Characidae,6.256666700045268,0.0072,3.13
63988,Acestrocephalus stigmatus,Characidae,6.256666700045268,0.0072,3.13
52919,Acestrorhynchus abbreviatus,Acestrorhynchidae,NA,0.008452472222222222,3.1286222222222224
51076,Acestrorhynchus altus,Acestrorhynchidae,NA,0.008452472222222222,3.1286222222222224
52499,Acestrorhynchus britskii,Acestrorhynchidae,NA,0.008452472222222222,3.1286222222222224
23498,Acestrorhynchus falcatus,Acestrorhynchidae,NA,0.006495,3.1950000000000003
13123,Acestrorhynchus falcirostris,Acestrorhynchidae,NA,0.010054,2.9924
51808,Acestrorhynchus grandoculis,Acestrorhynchidae,NA,0.008452472222222222,3.1286222222222224
27261,Acestrorhynchus heterolepis,Acestrorhynchidae,NA,0.00644,3.184
52522,Acestrorhynchus isalineae,Acestrorhynchidae,NA,0.008452472222222222,3.1286222222222224
51077,Acestrorhynchus lacustris,Acestrorhynchidae,NA,0.00946,3.1313333333333335
52523,Acestrorhynchus maculipinna,Acestrorhynchidae,NA,0.008452472222222222,3.1286222222222224
12336,Acestrorhynchus microlepis,Acestrorhynchidae,NA,0.012413333333333334,2.939
51809,Acestrorhynchus minimus,Acestrorhynchidae,NA,0.008452472222222222,3.1286222222222224
51815,Acestrorhynchus nasutus,Acestrorhynchidae,NA,0.008452472222222222,3.1286222222222224
52503,Acestrorhynchus pantaneiro,Acestrorhynchidae,NA,0.0058525,3.33
11926,Acheilognathus asmussii,Acheilognathidae,NA,0.013564285714285714,3.069238095238095
54928,Acheilognathus barbatulus,Acheilognathidae,NA,0.013564285714285714,3.069238095238095
55891,Acheilognathus barbatus,Acheilognathidae,NA,0.013564285714285714,3.069238095238095
61861,Acheilognathus binidentatus,Acheilognathidae,NA,0.013564285714285714,3.069238095238095
60403,Acheilognathus brevicaudatus,Acheilognathidae,NA,0.013564285714285714,3.069238095238095
65965,Acheilognathus changtingensis,Acheilognathidae,NA,0.013564285714285714,3.069238095238095
66150,Acheilognathus coreanus,Acheilognathidae,NA,0.013564285714285714,3.069238095238095
